city,date,card_type,exp_type,gender,amount_raw,amount_norm,day_of_week,month,week_number,year,card_type_encoded,gender_encoded,city_encoded,exp_type_encoded
"Lakshmeshwar, India",2013-10-04,Silver,Bills,F,83905,0.08314344400404385,4,10,40,2013,3,0,288,0
"Bengaluru, India",2013-10-04,Gold,Fuel,F,29929,0.02900893817096458,4,10,40,2013,0,0,71,3
"Ahmedabad, India",2013-10-04,Silver,Entertainment,M,89155,0.08840886114543384,4,10,40,2013,3,1,8,1
"Delhi, India",2013-10-04,Silver,Fuel,M,203722,0.2033122984097437,4,10,40,2013,3,1,126,3
"Delhi, India",2013-10-04,Gold,Food,M,281924,0.2817439462746923,4,10,40,2013,0,1,126,2
"Delhi, India",2013-10-04,Gold,Grocery,M,125616,0.12497693245823772,4,10,40,2013,0,1,126,4
"Phalodi, India",2013-10-04,Gold,Entertainment,M,139361,0.13876229600269588,4,10,40,2013,0,1,555,1
"Sultanganj, India",2013-10-04,Gold,Entertainment,M,131374,0.13075184139159457,4,10,40,2013,0,1,812,1
"Ahmedabad, India",2013-10-04,Silver,Entertainment,M,296021,0.2958823435017732,4,10,40,2013,3,1,8,1
"Delhi, India",2013-10-04,Signature,Bills,F,735037,0.7361875571673862,4,10,40,2013,2,0,126,0
"Puttur, India",2013-10-04,Silver,Fuel,M,282754,0.2825763836513311,4,10,40,2013,3,1,592,3
"Bengaluru, India",2013-10-04,Silver,Bills,M,159769,0.15923022610202672,4,10,40,2013,3,1,71,0
"Terdal, India",2013-10-04,Gold,Grocery,F,64001,0.06318099395028644,4,10,40,2013,0,0,846,4
"Bheemunipatnam, India",2013-10-04,Silver,Food,F,14167,0.013200651507614295,4,10,40,2013,3,0,83,2
"Ahmedabad, India",2013-10-04,Gold,Entertainment,F,78098,0.07731939117736733,4,10,40,2013,0,0,8,1
"Ahmedabad, India",2013-10-04,Silver,Food,M,116904,0.11623934881332541,4,10,40,2013,3,1,8,2
"Greater Mumbai, India",2013-10-04,Silver,Fuel,M,35163,0.03425830832678082,4,10,40,2013,3,1,170,3
"Surat, India",2013-10-04,Signature,Entertainment,F,216512,0.2161398575027681,4,10,40,2013,2,0,821,1
"Delhi, India",2013-10-04,Gold,Entertainment,M,208425,0.2080291092318308,4,10,40,2013,0,1,126,1
"Tanuku, India",2013-10-04,Signature,Grocery,F,92194,0.09145678546784987,4,10,40,2013,2,0,837,4
"Delhi, India",2013-10-04,Signature,Bills,F,550782,0.5513914742365646,4,10,40,2013,2,0,126,0
"Bengaluru, India",2013-10-04,Silver,Food,F,205179,0.20477357703355423,4,10,40,2013,3,0,71,2
"Pune, India",2013-10-04,Silver,Travel,F,11626,0.010652189611181539,4,10,40,2013,3,0,584,5
"Fatehpur Sikri, India",2013-10-04,Gold,Grocery,M,188578,0.1881238265641799,4,10,40,2013,0,1,151,4
"Bengaluru, India",2013-10-04,Gold,Fuel,F,236037,0.23572219458574706,4,10,40,2013,0,0,71,3
"Kolkata, India",2013-10-04,Silver,Entertainment,F,18034,0.017079007333472406,4,10,40,2013,3,0,267,1
"Siwan, India",2013-10-04,Platinum,Grocery,M,298389,0.29825729736668966,4,10,40,2013,1,1,792,4
"Nowgong, India",2013-10-04,Gold,Fuel,M,33784,0.03287525875764238,4,10,40,2013,0,1,485,3
"Greater Mumbai, India",2013-10-04,Gold,Bills,F,990700,0.9926013367138983,4,10,40,2013,0,0,170,0
"Hyderabad, India",2013-10-04,Signature,Bills,F,24897,0.02396216120801707,4,10,40,2013,2,0,193,0
"Greater Mumbai, India",2013-10-04,Platinum,Entertainment,M,295639,0.2954992217211997,4,10,40,2013,1,1,170,1
"Sawai Madhopur, India",2013-10-04,Gold,Fuel,F,215148,0.21477185198260504,4,10,40,2013,0,0,719,3
"Delhi, India",2013-10-04,Signature,Fuel,F,298983,0.29885304170611554,4,10,40,2013,2,0,126,3
"Greater Mumbai, India",2013-10-04,Platinum,Grocery,F,22708,0.021766732994207037,4,10,40,2013,1,0,170,4
